"SAL_AP" "SAL_AST" "SAL_ALL" "NUM_AP" "NUM_AST" "NUM_TOT"
390 333 385 111 129 467
447 403 517 255 188 926
385 342 392 35 52 165
353 297 340 31 37 145
406 351 418 90 111 370
434 349 424 26 12 56
422 360 397 45 63 170
494 421 528 301 227 1081
479 430 509 106 101 378
381 324 402 25 26 103
422 385 451 56 40 161
453 408 467 108 119 368
284 251 255 8 13 32
343 NA 340 7 5 24
534 397 518 119 137 390
461 366 499 35 30 140
516 477 575 36 50 178
545 452 545 43 81 192
450 401 471 44 30 152
540 412 553 51 64 207
444 374 435 55 30 111
514 385 522 125 120 417
451 360 430 34 22 65
501 394 550 49 32 146
437 360 434 29 26 90
445 380 439 131 111 329
504 423 597 57 66 254
515 400 535 47 33 127
522 444 708 118 191 767
520 417 555 119 125 446
449 385 482 141 104 374
480 399 482 67 70 261
542 447 610 175 134 637
552 427 618 157 154 528
483 403 481 282 189 891
360 288 330 10 17 30
362 293 350 12 21 47
476 390 491 113 95 400
435 359 379 47 61 183
405 NA 417 14 3 26
531 422 556 319 217 953
373 334 376 12 22 49
420 350 394 77 84 215
482 351 403 22 37 90
369 310 365 130 84 299
426 359 424 123 111 364
426 394 461 147 159 528
424 357 436 18 37 87
369 331 369 18 44 96
399 378 473 316 192 1038
420 321 457 43 26 154
437 370 477 52 65 185
430 399 501 721 510 2261
510 408 513 200 147 769
418 369 455 319 239 1038
425 371 416 37 46 127
420 369 435 207 162 593
391 350 390 65 75 221
369 333 348 14 28 66
423 395 433 261 220 767
405 343 408 81 57 230
421 356 426 24 19 66
395 335 371 24 68 138
367 315 347 32 119 201
409 336 383 43 79 183
403 343 399 20 38 92
375 333 396 50 51 178
547 451 608 177 161 549
382 339 379 39 49 142
517 462 558 206 167 626
386 360 398 58 40 146
408 328 363 135 254 603
474 390 502 254 241 793
428 353 399 116 111 350
423 351 433 78 81 246
454 329 450 9 10 44
308 294 317 17 17 55
444 378 489 552 391 1658
386 344 390 90 114 311
391 353 392 50 97 272
388 340 373 41 80 179
371 312 388 12 6 38
532 458 570 285 272 1099
NA 396 449 4 8 20
461 414 467 47 37 141
324 286 313 13 28 60
416 339 382 12 30 72
413 334 395 36 22 89
361 312 338 10 25 54
421 340 436 21 22 73
426 368 468 22 17 75
356 308 355 14 16 72
458 409 481 61 107 285
331 301 345 11 29 70
320 295 329 31 20 75
517 405 513 36 52 139
506 404 534 353 284 1188
363 314 363 35 31 109
399 347 404 26 50 155
331 303 341 29 16 66
356 334 337 20 28 63
NA NA 302 0 0 18
372 311 344 16 27 58
377 339 394 11 17 67
374 325 362 15 44 98
469 390 447 152 226 622
315 309 323 23 14 58
509 432 579 308 260 1064
NA 287 303 5 6 27
370 308 358 21 29 89
314 289 292 13 22 54
312 269 294 11 19 45
391 354 391 111 100 427
338 266 336 20 19 56
382 337 368 99 113 460
329 292 338 35 35 110
NA NA 341 0 0 71
408 373 438 165 155 546
425 362 418 28 50 137
379 339 372 16 19 69
405 333 402 9 14 32
NA NA 312 0 0 23
464 378 442 88 100 295
422 345 392 15 23 50
NA NA 349 0 0 171
351 295 351 23 24 78
543 427 524 173 152 500
373 333 364 161 120 560
370 315 355 16 16 37
331 292 336 11 15 57
424 347 424 18 14 51
480 452 512 81 73 287
436 373 460 187 244 720
378 359 394 88 71 331
369 320 345 65 77 351
452 374 445 42 47 129
358 305 358 12 6 29
357 NA 319 11 3 19
414 342 432 17 20 77
475 402 495 22 24 81
392 330 357 20 29 138
536 433 570 230 163 563
263 250 262 9 16 69
397 341 381 10 16 47
409 313 386 38 46 124
339 325 381 12 11 44
405 337 348 51 120 253
399 348 398 40 28 97
337 285 339 18 18 65
435 375 440 266 246 944
596 496 712 209 203 872
335 278 320 22 36 92
400 345 395 9 13 49
371 285 345 21 14 55
405 359 416 58 42 152
378 377 382 25 34 72
436 359 422 255 313 977
442 389 453 126 95 421
395 315 409 36 17 91
452 388 439 78 53 159
346 291 320 11 13 31
586 515 742 138 161 802
493 421 570 520 393 1868
476 411 513 369 296 1135
427 350 421 171 123 606
437 368 452 54 32 156
540 396 487 12 16 47
437 370 433 62 46 163
340 316 347 45 36 138
410 332 384 160 350 965
NA 285 295 4 26 36
442 366 439 66 77 220
433 361 452 57 38 146
394 338 445 13 22 79
415 351 414 43 58 170
363 325 381 16 20 60
341 291 345 19 28 84
264 228 285 11 6 31
437 377 432 16 35 92
367 305 358 11 13 38
408 358 382 38 52 125
421 377 384 38 58 181
479 399 540 344 305 1361
405 327 341 12 24 59
408 340 385 106 123 303
469 405 469 217 215 688
432 380 397 21 29 81
446 355 410 63 33 152
445 391 420 56 57 175
408 369 422 24 42 125
340 289 340 22 17 74
329 303 330 23 34 79
342 294 335 23 34 81
282 252 269 11 10 28
485 423 562 411 400 1443
413 364 405 105 74 247
522 447 549 29 21 101
334 313 316 8 21 37
374 312 344 12 19 45
264 235 265 6 9 23
234 199 232 11 18 44
391 331 388 43 52 117
NA NA 332 3 5 15
352 300 355 31 25 95
324 291 340 28 10 64
562 470 637 195 164 644
423 372 446 58 74 204
474 371 501 22 20 74
394 343 423 133 151 548
318 288 327 18 16 52
280 248 281 9 24 51
285 267 285 19 8 48
378 325 377 56 71 232
381 331 375 76 70 291
390 330 367 67 78 238
419 368 440 231 259 858
290 265 293 14 10 38
274 254 272 16 11 37
292 264 284 12 22 55
318 278 311 10 10 39
301 261 282 11 15 43
NA 222 257 5 8 24
422 367 485 297 204 981
438 333 457 55 59 201
417 361 415 154 188 467
305 265 300 12 24 60
316 278 296 16 16 50
385 326 394 18 27 84
428 355 436 43 31 112
322 273 299 10 14 32
278 252 277 11 16 46
315 289 313 22 26 66
418 351 431 21 21 73
291 272 286 23 32 97
439 371 442 135 185 586
338 297 343 18 19 72
403 329 377 35 52 118
326 292 327 18 11 51
359 278 294 7 11 38
395 322 373 89 123 336
396 342 383 101 101 336
314 275 304 25 15 51
393 318 384 25 18 63
287 255 277 20 8 48
473 418 521 416 308 1200
442 368 476 208 169 674
324 277 312 30 18 62
408 347 413 135 144 553
427 350 388 96 90 341
380 324 412 20 16 66
373 342 350 15 59 96
361 316 338 67 82 286
392 329 349 48 124 265
324 308 338 13 18 60
408 344 391 93 131 389
437 379 464 387 313 1439
414 337 385 37 48 156
378 352 404 128 116 510
451 393 476 103 45 241
374 323 363 77 104 290
376 325 343 102 159 449
360 312 335 47 98 223
306 325 314 9 9 25
405 329 348 68 163 389
329 298 320 22 64 120
514 418 564 166 115 456
409 359 402 136 167 548
389 332 352 41 91 203
392 336 367 88 210 446
516 425 610 23 43 153
364 318 341 9 14 33
400 325 385 42 40 107
393 326 395 63 38 125
613 557 633 45 31 119
566 493 575 84 56 198
402 329 381 59 61 139
569 496 614 245 126 556
352 310 346 18 8 41
493 403 550 71 40 299
469 395 522 64 38 160
353 305 342 18 19 52
506 406 519 84 54 186
502 386 488 33 35 92
352 319 381 18 13 71
559 500 793 149 255 1172
336 322 320 7 13 27
539 464 587 191 52 476
637 528 757 177 164 989
440 400 468 53 41 255
429 395 444 56 70 224
394 361 428 34 21 91
419 378 457 46 44 169
456 370 463 44 30 168
505 400 541 47 51 191
525 460 543 260 176 730
425 345 407 20 14 46
471 386 477 54 53 167
514 405 591 70 59 262
482 420 526 61 32 321
404 321 376 45 78 174
428 354 423 56 36 116
548 484 611 73 33 232
549 447 592 157 98 405
537 438 607 306 146 1172
543 445 549 186 100 473
550 453 603 44 74 222
497 437 543 42 29 131
435 357 486 16 25 91
420 362 415 20 20 49
503 417 543 36 88 213
527 451 546 70 58 212
344 NA 352 7 5 17
433 349 401 28 51 127
377 309 362 25 29 76
297 293 296 9 11 42
435 366 431 32 36 103
423 366 416 56 70 228
387 358 411 27 23 75
425 352 402 21 40 76
542 435 593 110 160 767
500 397 482 76 89 222
517 439 450 41 91 229
384 311 358 29 34 85
445 357 404 63 78 240
NA NA 437 0 0 43
426 347 426 35 29 97
433 388 439 136 169 471
455 377 492 100 67 299
560 490 582 50 54 166
487 406 539 388 163 1285
455 395 464 119 104 353
455 388 379 33 25 113
419 348 443 12 15 60
379 313 412 30 10 79
354 302 343 19 25 67
490 404 518 31 45 127
527 418 554 40 35 123
515 383 524 33 60 140
348 292 385 26 13 101
347 320 356 10 12 33
358 302 334 13 18 49
380 323 354 22 39 76
321 283 295 8 33 45
338 297 318 7 8 17
436 366 449 197 102 452
355 284 360 24 8 39
261 261 285 7 16 31
439 362 459 144 61 291
365 316 386 8 14 66
443 346 462 27 33 109
408 335 422 27 21 75
313 275 319 32 27 90
410 363 446 33 20 212
460 397 490 191 137 581
304 257 289 12 15 40
NA NA 295 2 4 7
447 389 462 171 160 729
470 409 467 160 151 477
287 254 283 19 12 44
479 387 467 105 118 321
420 350 443 49 38 159
440 352 452 25 24 92
395 352 382 12 42 84
365 290 348 26 13 49
493 413 555 494 350 1840
482 420 511 124 95 338
446 357 422 35 38 112
459 347 467 72 61 329
518 432 534 142 85 358
NA 306 329 4 23 44
448 364 446 40 29 174
342 300 325 31 23 57
321 284 320 15 19 62
452 408 451 66 51 219
460 409 437 46 57 184
525 447 535 267 216 925
489 396 502 233 189 731
NA 370 385 4 25 36
333 263 360 11 6 48
577 460 605 419 472 1968
356 314 357 29 58 123
403 341 419 40 50 192
486 394 521 36 45 155
404 334 381 50 47 125
369 326 356 53 54 143
374 327 345 31 50 119
429 366 402 104 146 310
419 356 413 38 60 166
363 319 353 12 23 50
402 338 408 47 44 162
451 342 461 29 27 128
492 406 514 32 36 121
441 371 453 138 125 489
421 353 419 65 120 345
339 313 333 16 27 57
417 355 459 40 19 117
417 354 441 143 146 573
412 353 418 44 38 126
396 295 389 23 27 81
417 355 446 93 49 235
446 386 458 112 72 285
399 334 389 23 45 112
420 358 430 73 85 293
468 418 557 468 271 1538
356 313 375 48 12 110
340 295 317 13 17 52
336 252 310 20 22 56
440 379 429 103 135 451
307 273 299 11 22 46
348 297 332 20 22 52
394 323 375 23 31 87
298 302 304 6 8 40
NA 299 373 1 13 47
335 282 308 22 45 119
367 306 340 27 55 97
355 310 359 13 27 78
406 349 389 50 67 187
318 285 302 18 22 47
393 334 385 44 64 161
411 342 385 103 142 328
404 348 379 49 85 231
320 283 299 8 24 45
380 350 369 31 33 88
392 350 393 25 23 79
432 359 416 99 106 363
422 364 417 151 180 671
475 402 500 111 120 395
NA NA 282 0 0 62
456 407 485 256 244 899
508 454 564 79 56 253
445 381 473 167 107 434
460 412 476 103 110 304
534 451 601 136 175 620
435 325 395 29 55 115
390 298 381 17 12 50
342 306 364 12 31 88
303 290 312 13 13 45
294 281 265 7 10 29
284 248 258 8 21 38
371 326 320 35 35 168
304 298 314 8 15 34
259 NA 263 12 5 25
337 314 337 32 47 175
391 337 362 79 114 328
376 322 387 27 29 85
NA 306 324 5 44 112
432 389 455 191 155 669
331 287 297 17 38 106
280 302 285 8 24 61
267 244 262 22 18 66
428 384 440 111 158 439
438 352 438 162 160 563
343 285 326 23 29 64
305 258 299 19 7 43
358 292 348 41 48 141
395 336 420 17 18 86
397 346 407 146 144 468
342 309 332 19 41 79
365 323 392 79 95 390
330 289 313 12 22 46
448 409 432 106 116 361
413 366 424 117 113 545
436 350 417 41 37 147
312 299 311 25 37 84
312 287 297 12 14 52
316 281 309 21 17 46
377 300 323 16 16 52
326 288 342 12 23 66
460 356 506 34 32 130
584 459 699 149 141 620
430 377 415 187 261 792
415 338 398 32 16 105
388 331 372 38 64 138
437 375 407 72 50 193
305 294 312 7 26 87
331 309 333 21 10 44
414 338 410 22 29 90
397 330 349 25 35 94
357 303 327 27 34 84
323 295 345 26 17 91
257 263 259 12 22 53
308 259 309 16 18 80
373 328 366 30 31 103
309 295 316 21 19 62
304 274 299 12 8 24
447 373 423 84 70 263
317 299 320 13 20 45
403 341 413 32 31 143
322 269 337 9 15 49
360 319 350 21 20 63
349 283 324 15 17 44
321 293 292 19 43 92
475 417 505 345 200 1235
512 410 565 329 212 1268
448 385 441 189 197 643
443 377 435 178 135 572
526 433 557 86 74 323
NA NA 283 0 0 42
439 364 414 106 93 319
419 366 421 105 108 346
308 301 320 25 24 79
421 365 407 48 30 149
342 302 316 14 33 71
NA 313 340 4 21 37
383 331 347 41 68 188
391 345 379 124 163 472
368 313 340 14 16 54
391 353 398 125 149 423
404 329 390 20 19 91
321 293 300 13 19 43
316 282 320 16 15 54
462 351 437 119 127 342
300 276 300 11 11 36
392 326 360 7 28 57
359 305 353 19 24 66
433 365 409 89 92 309
NA 278 301 4 25 52
446 417 452 115 97 403
381 327 396 23 25 87
402 308 367 8 19 50
293 272 288 14 7 40
477 410 523 344 316 1127
411 324 394 25 41 125
340 289 317 12 23 41
407 377 368 6 8 26
380 277 329 9 19 38
536 429 610 89 114 371
382 323 399 29 17 76
329 251 327 20 23 65
425 356 459 32 15 83
299 261 286 11 13 34
363 331 365 29 18 66
403 338 381 35 51 109
454 375 482 253 127 576
417 337 426 46 40 149
405 354 431 55 38 158
434 354 406 13 17 46
305 252 266 10 16 36
388 322 365 19 16 47
463 386 529 28 15 108
425 373 403 13 30 71
351 311 320 14 24 44
525 405 520 66 90 237
509 408 519 55 29 126
521 417 532 130 125 419
606 501 615 98 71 303
516 423 525 107 115 340
519 409 535 97 88 312
564 437 749 66 179 702
552 511 564 103 41 208
640 526 693 125 73 374
557 414 553 110 101 332
391 317 404 42 21 117
494 415 544 37 30 137
524 422 525 81 123 313
633 510 648 73 61 206
611 478 665 393 258 1374
440 404 459 63 54 303
527 407 532 40 41 131
496 393 492 58 65 178
NA NA 442 0 0 53
377 321 360 42 63 144
362 305 349 32 59 117
421 405 448 32 29 108
433 360 434 167 196 582
431 379 466 268 195 837
480 390 508 133 95 403
476 392 452 192 214 642
596 484 563 29 36 93
427 367 439 25 36 113
460 365 521 15 29 84
480 370 468 73 51 181
354 295 337 13 21 45
515 475 563 58 43 161
505 406 539 61 56 198
388 336 366 24 20 56
449 391 447 38 17 67
408 329 374 50 46 129
554 452 687 185 199 923
516 395 508 19 56 154
289 275 303 6 14 32
514 433 607 18 6 59
562 482 627 189 148 914
511 431 549 231 105 707
385 327 359 22 32 76
400 354 365 10 19 42
342 306 359 24 26 63
573 444 590 183 140 498
478 377 478 37 54 149
423 340 419 23 36 123
462 352 495 39 34 137
550 470 584 131 141 406
323 265 327 29 17 77
NA 261 278 3 12 28
462 393 461 81 59 192
484 366 443 153 184 428
346 283 338 8 19 42
455 365 445 50 36 119
500 388 488 74 50 172
485 373 417 34 91 151
349 297 357 24 13 56
407 332 382 26 19 49
399 341 416 38 48 149
435 353 381 20 58 116
371 276 349 16 13 43
407 349 395 8 23 51
428 343 430 33 35 105
591 507 683 337 252 1231
430 376 443 43 24 108
513 436 576 124 77 397
548 475 640 118 61 369
476 417 466 215 179 665
409 351 397 56 37 118
478 398 541 14 13 69
492 397 498 69 48 164
429 357 434 53 49 155
398 377 425 51 43 154
466 350 446 14 14 57
427 376 432 40 36 106
398 349 372 15 46 81
473 366 488 56 40 153
408 374 419 16 26 63
526 407 576 217 125 638
511 407 555 175 82 460
534 414 589 216 183 801
501 397 492 107 88 296
433 359 444 157 88 424
411 341 432 76 66 234
438 350 450 65 54 235
411 348 405 78 79 243
458 373 462 96 73 283
428 362 440 78 81 267
427 339 441 105 78 302
435 343 445 76 71 266
413 337 424 63 52 219
475 394 526 301 205 891
394 339 401 46 32 105
508 399 512 50 54 173
520 434 611 130 110 508
517 408 523 60 66 212
366 326 368 17 31 72
373 318 396 10 14 46
513 408 531 175 124 561
492 410 491 106 43 228
432 362 437 52 28 114
457 414 444 48 19 85
480 374 466 42 40 127
548 423 601 338 218 982
437 361 430 47 35 132
286 NA 304 6 5 17
418 329 398 58 58 179
431 360 464 39 35 148
309 272 312 13 19 49
481 394 483 212 180 690
405 334 424 36 57 158
518 470 585 133 126 530
364 300 346 37 60 132
459 390 486 223 128 531
412 339 360 21 52 100
362 300 349 32 34 83
411 346 449 24 44 122
394 325 399 21 17 70
333 277 326 18 11 46
414 346 445 32 55 146
370 301 330 29 51 115
NA NA 345 0 0 39
334 298 331 18 24 67
367 302 373 22 20 81
473 389 465 56 74 203
473 389 502 244 203 682
439 381 480 36 38 131
330 283 280 8 15 47
352 306 343 18 26 70
366 298 370 18 19 69
365 290 353 19 28 69
294 269 290 9 15 29
454 385 507 69 43 239
431 371 437 53 39 155
460 335 384 14 19 39
396 350 375 19 18 41
424 337 410 10 9 26
417 353 392 13 17 36
486 393 512 241 192 687
395 354 453 25 42 136
372 329 363 42 56 130
379 334 379 7 14 27
448 387 479 253 147 717
483 393 535 410 244 1113
479 392 482 159 130 419
457 379 486 152 167 556
266 241 272 12 14 36
350 297 306 10 20 62
344 278 346 19 10 49
357 303 335 18 32 61
413 341 438 55 32 142
473 378 449 75 78 230
450 362 481 116 106 459
491 415 555 679 443 1910
474 376 478 225 219 763
348 300 316 15 17 162
468 385 465 176 132 493
439 368 411 54 35 119
360 329 345 35 63 177
NA NA 264 0 0 26
442 384 416 57 166 389
407 352 378 31 64 158
375 313 342 31 34 108
374 348 377 49 71 257
397 321 336 11 30 77
335 282 317 33 42 102
372 317 385 18 15 77
369 336 362 18 11 52
409 373 449 247 181 794
360 311 346 14 14 54
315 273 317 10 15 42
407 348 363 17 61 148
429 382 393 33 65 198
445 368 470 225 236 778
500 404 513 108 73 287
308 252 285 7 7 22
329 307 349 15 7 36
363 309 373 23 17 65
373 302 355 27 27 77
442 362 477 36 47 171
377 319 397 47 31 129
NA NA 292 5 2 11
354 315 361 40 33 155
473 400 475 209 133 622
441 391 438 32 32 109
381 341 370 32 41 108
437 382 474 113 77 411
442 378 495 20 31 98
371 315 393 49 25 161
446 375 459 182 152 671
437 387 436 57 42 135
279 216 269 14 8 26
390 345 478 43 28 145
396 359 430 21 15 79
414 332 415 46 54 144
315 295 303 12 30 60
405 353 381 20 32 68
466 379 511 23 20 129
497 415 528 85 73 243
NA 354 398 5 18 41
566 499 678 138 125 523
392 318 375 17 29 60
397 323 394 12 16 43
322 277 311 10 18 37
425 346 377 22 48 84
411 347 379 27 21 73
468 380 466 47 51 144
496 459 568 114 73 341
469 393 475 97 113 336
342 329 363 17 17 57
456 371 448 39 26 105
481 387 517 43 44 152
377 341 365 54 76 182
366 312 366 17 16 50
475 400 485 65 28 151
316 269 280 18 51 98
498 392 521 19 33 95
395 335 364 14 33 75
406 310 385 8 8 28
541 425 546 201 173 658
505 428 441 9 24 59
391 316 419 20 16 74
427 354 409 28 45 95
517 419 506 62 71 179
482 426 470 80 95 209
401 362 419 21 17 67
543 448 635 118 77 416
400 348 393 26 18 87
436 352 395 26 33 86
429 356 412 41 52 121
390 312 339 25 46 101
400 351 393 37 45 131
406 343 423 29 19 86
383 314 359 18 20 53
432 359 449 31 37 115
556 439 529 136 88 309
538 428 528 109 131 348
541 436 549 108 64 309
554 379 550 35 21 98
531 415 526 72 85 272
545 424 516 86 169 392
544 418 528 117 122 383
544 417 508 64 61 197
532 428 516 60 58 179
552 429 549 97 100 320
545 425 573 67 83 301
532 431 537 104 138 380
540 431 533 163 176 483
425 362 417 28 39 85
331 290 357 19 17 73
454 406 438 43 42 103
380 329 368 23 24 56
392 323 375 14 24 66
484 427 487 50 63 154
399 317 363 20 20 64
420 359 422 26 33 89
519 417 562 44 47 163
579 454 606 332 291 1150
342 287 369 14 10 58
622 532 744 240 212 993
516 421 547 402 373 1325
418 340 373 14 25 55
401 314 369 23 14 56
430 322 404 63 32 133
479 437 475 86 95 242
419 354 434 28 29 91
535 438 536 143 206 503
480 373 473 29 18 87
332 297 333 11 22 67
410 337 423 12 24 93
430 338 409 53 53 138
314 269 294 9 12 32
512 414 464 32 67 113
415 342 365 19 33 68
364 302 351 12 21 44
328 296 307 9 27 44
509 417 522 449 427 1799
539 419 517 92 110 324
515 433 625 100 111 514
582 502 556 43 45 135
526 418 489 68 93 219
442 381 453 101 96 323
427 351 444 49 34 118
397 327 385 43 37 124
473 416 541 187 135 659
NA NA 464 0 0 104
356 299 327 20 29 72
260 241 257 10 29 78
247 214 264 7 9 36
405 332 421 59 24 148
441 375 466 224 191 801
359 318 358 9 18 43
410 320 374 102 118 320
355 330 358 25 15 76
384 317 372 31 23 69
NA 297 355 5 14 40
414 343 453 39 54 185
381 343 380 31 41 114
282 250 264 8 11 28
278 252 269 16 21 46
290 243 287 19 11 46
376 316 397 22 22 75
379 307 350 58 77 255
436 385 475 335 194 1034
392 317 374 39 36 117
377 314 340 43 49 143
NA 254 233 3 12 30
378 327 378 78 70 242
413 367 448 27 11 64
368 303 366 43 16 132
394 328 387 37 40 166
382 322 364 22 45 108
341 303 329 13 50 98
290 246 257 11 13 36
357 349 351 11 24 56
333 297 337 30 35 104
308 289 311 12 15 36
414 362 419 28 26 104
368 326 368 67 122 367
364 340 362 75 134 352
362 314 374 47 102 252
372 315 382 54 45 148
NA 255 262 4 9 27
334 286 324 33 41 117
347 312 345 28 32 86
374 308 365 22 25 97
449 358 411 124 165 486
369 269 319 19 17 65
326 271 305 23 20 69
288 283 294 9 16 42
320 284 297 20 29 74
351 289 338 14 19 49
425 376 443 194 193 722
418 336 410 167 224 669
334 291 347 16 15 52
261 249 260 32 19 90
446 353 430 37 46 110
418 330 407 78 71 288
424 346 436 98 100 376
327 290 314 7 14 27
361 318 332 22 52 112
420 365 428 60 79 263
454 402 501 325 202 1139
409 337 413 57 48 225
427 347 485 20 18 99
522 432 612 160 177 657
461 403 486 60 40 164
375 339 376 42 36 160
425 369 398 27 40 180
394 320 418 20 23 84
318 325 329 9 17 55
378 351 418 66 58 248
311 295 330 11 25 84
363 314 345 19 43 111
382 334 361 81 91 343
343 319 349 18 11 50
418 362 399 45 54 162
443 382 448 203 234 751
405 346 379 25 30 101
426 343 367 85 109 369
548 481 663 89 91 422
403 341 408 63 116 365
300 257 282 8 8 40
505 463 550 154 135 483
410 328 385 135 204 662
470 373 478 33 25 83
385 331 380 45 24 83
474 383 502 57 49 169
379 338 380 74 114 391
368 310 354 15 24 95
421 347 369 58 64 232
399 347 354 48 48 204
477 423 511 109 99 336
393 348 386 51 41 192
370 313 365 13 20 61
455 366 423 82 104 331
429 363 468 216 220 742
536 298 439 30 15 96
401 342 396 107 101 353
477 389 548 61 57 216
432 364 395 35 25 108
462 398 520 288 238 903
438 395 455 224 137 608
476 432 577 439 480 2099
417 365 404 122 142 423
278 252 311 19 15 62
358 326 340 35 58 228
474 397 476 131 103 601
432 380 404 16 18 48
505 451 557 58 59 207
393 348 384 18 26 76
441 379 429 120 108 314
368 376 393 15 8 63
460 394 505 424 305 1546
396 334 400 44 45 142
421 359 409 37 24 133
479 409 467 65 45 174
321 279 302 7 8 19
404 336 365 53 44 153
389 319 355 11 11 29
373 NA 429 6 2 32
504 431 543 382 304 1372
432 383 498 231 216 860
403 364 420 165 158 583
349 290 335 48 55 147
388 341 389 97 124 459
367 325 359 25 35 79
319 281 328 15 11 48
390 332 383 15 21 62
499 382 525 132 123 470
442 363 412 44 68 166
335 286 325 13 15 69
358 296 363 19 14 54
342 299 353 21 16 69
397 338 417 28 13 80
377 323 359 86 134 297
398 306 388 27 23 71
420 336 393 50 50 150
392 317 395 36 37 125
447 366 441 151 131 508
370 311 362 31 25 71
418 369 448 30 34 112
451 370 446 228 156 643
393 354 407 119 92 391
395 313 399 30 21 79
411 337 409 28 18 65
492 404 491 310 211 784
408 338 412 37 28 92
387 330 392 26 25 89
309 275 290 9 8 33
433 372 468 26 11 65
550 418 565 70 72 222
397 325 401 43 48 157
352 313 350 14 18 58
524 445 568 266 156 675
318 279 307 15 12 34
446 364 467 14 24 94
467 404 519 526 270 1485
416 375 398 49 59 191
429 355 406 88 92 297
351 264 283 15 37 78
432 356 436 11 24 72
487 397 592 30 24 138
517 430 610 277 201 973
341 279 327 56 51 168
NA 279 320 5 7 13
NA NA 373 0 0 46
355 302 355 27 34 90
355 309 342 11 10 35
349 303 342 21 29 66
366 293 366 22 17 57
469 398 512 33 56 182
356 297 371 51 32 146
414 344 404 38 46 122
340 299 325 20 11 40
450 370 458 174 115 555
355 292 401 80 72 340
406 352 425 79 74 348
359 319 322 7 9 28
428 345 420 83 96 251
409 351 422 88 63 229
388 335 390 48 34 144
476 408 458 88 69 237
347 303 325 14 28 50
469 389 516 44 51 175
485 421 555 472 352 1906
314 300 312 20 36 117
447 393 470 281 279 965
444 371 462 141 67 385
451 372 476 32 23 93
349 279 345 39 18 93
NA NA 430 0 0 154
352 282 314 31 74 114
409 357 453 15 22 80
374 319 371 18 35 81
391 340 348 14 35 74
NA 321 329 3 19 46
425 364 462 28 31 104
371 302 334 17 41 71
521 426 527 238 151 483
411 353 439 27 20 103
327 282 312 19 19 52
296 271 325 15 7 44
380 320 409 23 17 69
445 353 415 45 42 109
498 439 573 287 360 1641
465 421 495 306 192 797
417 356 419 55 35 157
366 316 344 23 28 71
394 349 412 71 69 300
410 372 428 126 112 417
424 384 430 103 90 369
417 357 437 57 58 221
399 340 420 57 57 238
423 353 437 104 84 344
410 348 432 26 19 97
434 368 432 103 99 379
427 391 434 58 37 163
435 374 439 108 130 356
315 272 299 18 25 63
348 286 340 6 23 50
315 268 310 22 34 91
342 284 325 18 35 94
305 259 299 10 14 46
362 317 361 44 45 173
