"snum" "dnum" "api99" "growth" "meals" "ell" "yr_rnd" "mobility" "acs_k3" "acs_46" "not_hsg" "hsg" "some_col" "col_grad" "grad_sch" "avg_ed" "full" "emer" "enroll" "api00" "mealcat"
3643 209 766 56 NA 10 1 47 21 32 1 11 29 38 19 3.63000011444092 95 3 830 822 1
3624 209 745 61 NA 6 1 25 19 30 5 30 28 21 16 3.11999988555908 90 5 487 806 1
3623 209 745 71 NA 6 0 18 19 32 6 17 27 36 14 3.34999990463257 100 0 307 816 1
3629 209 485 68 86 38 1 32 20 32 33 28 27 8 4 2.20000004768372 95 5 819 553 3
3622 209 633 53 75 33 1 24 21 32 32 35 16 14 3 2.21000003814697 98 2 744 686 2
4017 238 444 39 79 40 1 24 20 28 37 27 27 7 3 2.13000011444092 87 13 672 483 2
58 248 765 36 NA 12 0 18 19 30 7 16 25 36 15 3.34999990463257 89 14 416 801 1
70 248 694 59 25 19 0 14 21 29 10 22 19 34 16 3.25 85 20 286 753 1
65 248 889 14 NA 8 0 21 22 30 1 9 15 34 41 4.05999994277954 77 23 488 903 1
657 253 443 11 100 53 1 21 19 29 47 33 11 8 0 1.82000005245209 93 11 656 454 3
697 253 428 12 100 67 1 19 19 29 58 26 12 3 1 1.63999998569489 88 19 577 440 3
646 253 491 28 93 33 0 19 19 29 43 27 19 10 1 2.00999999046326 100 5 523 519 3
640 253 477 35 84 33 1 24 19 29 27 35 21 16 2 2.30999994277954 98 10 672 512 3
629 253 522 3 92 41 1 15 19 30 45 34 14 6 1 1.85000002384186 98 2 678 525 3
659 253 480 6 90 44 1 27 19 30 47 32 12 8 2 1.85000002384186 94 15 680 486 3
699 253 409 28 90 70 1 17 19 29 64 20 8 7 0 1.5900000333786 93 15 700 437 3
637 253 409 38 100 51 0 22 20 29 61 19 15 4 2 1.66999995708466 100 7 396 447 3
663 253 499 19 86 22 0 18 19 29 15 36 27 19 2 2.5699999332428 93 13 495 518 3
633 253 466 13 100 59 1 21 19 30 59 26 9 5 1 1.62999999523163 94 10 929 479 3
690 253 343 81 100 36 0 20 17 26 46 28 16 10 0 1.9099999666214 87 20 205 424 3
2982 259 465 71 93 84 0 14 21 29 0 0 0 0 0 NA 92 8 570 536 3
3000 259 554 74 75 74 0 25 20 28 0 0 50 50 0 3.5 84 16 485 628 2
2997 259 546 81 71 71 0 15 20 33 39 24 15 20 2 2.22000002861023 96 4 410 627 2
3005 259 534 62 65 46 0 20 21 29 40 42 14 3 0 1.80999994277954 100 0 224 596 2
2972 259 617 47 72 71 0 13 19 30 19 30 26 23 2 2.57999992370605 91 13 306 664 2
3011 259 620 35 56 52 0 19 21 29 24 34 32 10 0 2.26999998092651 96 4 447 655 2
2977 259 566 50 75 65 0 23 21 31 34 31 15 19 1 2.22000002861023 93 7 432 616 2
3013 259 497 41 80 82 0 19 21 31 24 42 22 7 5 2.26999998092651 91 9 544 538 2
3024 259 670 57 60 50 0 24 21 30 21 24 17 25 12 2.82999992370605 100 0 547 727 2
3004 259 787 35 NA 4 0 10 19 27 0 19 19 29 33 3.75999999046326 87 13 313 822 1
3010 259 569 69 80 71 0 11 20 31 64 30 4 2 0 1.44000005722046 93 7 705 638 2
2460 284 497 84 70 26 0 14 23 25 22 29 23 21 6 2.59999990463257 63 32 182 581 2
2479 284 739 45 23 25 0 21 21 36 5 21 20 44 10 3.3199999332428 58 25 166 784 1
2459 284 840 31 NA 15 0 15 21 34 1 8 13 41 36 4.01999998092651 83 13 404 871 1
105 294 535 32 62 43 0 20 20 31 19 24 32 21 4 2.67000007629395 80 25 626 567 2
94 294 592 28 51 20 0 20 19 31 10 28 40 15 7 2.78999996185303 88 12 242 620 2
93 294 726 35 15 3 0 21 20 29 1 14 30 37 19 3.59999990463257 86 14 267 761 1
116 294 508 5 82 56 0 16 NA 31 25 36 26 10 4 2.30999994277954 46 42 558 513 3
3236 316 900 12 NA 7 0 22 21 30 0 0 33 0 67 4.32999992370605 97 6 611 912 1
3240 316 821 62 NA 20 0 35 19 31 0 0 0 100 0 4 100 0 440 883 1
3241 316 834 10 NA 14 0 21 21 26 0 0 67 33 0 3.32999992370605 100 3 381 844 1
3256 316 841 39 NA 7 0 11 21 31 0 50 50 0 0 2.5 90 3 503 880 1
3250 316 881 13 NA 4 0 13 20 26 0 0 0 0 0 NA 97 0 466 894 1
3247 316 818 40 NA 8 0 17 20 27 0 20 0 80 0 3.59999990463257 95 5 357 858 1
3258 316 817 30 NA 7 0 17 20 31 0 0 0 0 0 NA 100 0 388 847 1
1497 395 529 75 100 68 1 12 20 35 48 33 13 6 1 1.77999997138977 37 53 591 604 3
1478 395 466 87 100 70 1 11 19 35 62 25 9 3 0 1.53999996185303 73 17 637 553 3
1474 395 567 90 64 19 0 25 19 32 23 46 17 14 1 2.24000000953674 90 3 403 657 2
1511 395 500 -8 89 48 0 42 18 31 32 32 24 10 2 2.19000005722046 44 47 810 492 3
1539 395 711 -11 80 51 0 11 20 34 26 27 30 13 4 2.44000005722046 83 14 295 700 2
1490 395 552 38 89 58 1 16 19 33 29 39 22 7 2 2.13000011444092 58 29 837 590 3
1500 395 752 25 NA 11 0 15 20 34 4 32 23 31 10 3.10999989509583 84 9 669 777 1
1515 395 625 42 85 52 1 18 19 34 41 36 12 8 3 1.97000002861023 80 16 621 667 3
1512 395 752 17 47 20 0 17 16 25 16 11 30 30 13 3.13000011444092 95 5 467 769 2
1475 395 631 19 78 33 0 21 19 32 19 37 26 11 8 2.51999998092651 85 15 262 650 2
1522 395 427 134 100 86 1 8 20 35 44 37 14 5 0 1.80999994277954 48 31 795 561 3
1472 395 537 24 83 28 0 21 19 34 7 39 25 26 3 2.78999996185303 45 41 750 561 3
1516 395 543 54 100 71 1 15 20 34 55 26 13 5 1 1.71000003814697 68 32 590 597 3
1489 395 507 61 84 55 1 16 20 33 33 47 14 4 2 1.96000003814697 78 15 1029 568 3
1493 395 622 15 78 30 0 28 19 29 24 25 24 22 5 2.58999991416931 59 23 891 637 2
1606 401 538 50 61 1 0 20 16 26 0 10 36 48 6 3.49000000953674 0.730000019073486 19 285 588 2
1866 401 793 28 48 9 0 20 18 29 5 17 15 40 23 3.57999992370605 0.819999992847443 18 393 821 2
1747 401 511 48 100 74 0 11 17 27 53 28 12 5 2 1.75 0.839999973773956 8 419 559 3
1905 401 663 30 50 4 0 11 18 27 13 42 19 21 5 2.64000010490417 0.810000002384186 12 353 693 2
1699 401 456 86 99 53 0 10 19 30 33 33 20 15 0 2.16000008583069 0.670000016689301 24 414 542 3
2077 401 816 24 33 25 0 11 20 29 0 0 0 0 0 NA 1 0 276 840 1
1959 401 605 16 82 45 0 17 18 25 42 50 8 0 0 1.66999995708466 0.860000014305115 11 320 621 3
1914 401 489 -2 91 48 1 22 18 27 33 32 22 8 5 2.21000003814697 0.720000028610229 21 717 487 3
1685 401 621 65 62 21 0 10 16 26 10 40 28 19 3 2.66000008583069 0.850000023841858 15 278 686 2
1757 401 438 25 88 75 1 24 19 27 48 32 10 11 1 1.85000002384186 0.75 20 631 463 3
2087 401 430 46 90 70 1 10 18 29 28 43 14 14 1 2.1800000667572 0.709999978542328 25 852 476 3
1946 401 767 54 21 4 0 12 18 29 4 25 22 35 14 3.30999994277954 0.759999990463257 12 405 821 1
1821 401 379 33 100 77 1 8 19 29 67 21 8 4 1 1.5 0.620000004768372 28 1264 412 3
1881 401 382 12 99 42 1 22 17 26 29 35 23 11 3 2.23000001907349 0.680000007152557 24 629 394 3
1862 401 785 30 24 18 0 15 18 30 10 9 10 32 39 3.80999994277954 1 0 300 815 1
1932 401 631 63 56 24 0 24 18 30 18 36 16 25 5 2.64000010490417 0.810000002384186 12 361 694 2
1919 401 425 8 100 74 1 15 19 31 49 29 9 5 8 1.96000003814697 0.5 36 859 433 3
1788 401 504 56 72 1 0 26 17 27 3 6 52 27 13 3.39000010490417 0.730000019073486 19 321 560 2
1664 401 535 37 76 44 0 12 18 25 19 26 24 22 8 2.73000001907349 0.899999976158142 7 380 572 2
1885 401 600 5 68 31 0 15 17 24 11 19 15 52 3 3.16000008583069 0.810000002384186 19 277 605 2
1682 401 716 39 27 2 0 10 16 31 1 18 34 29 19 3.48000001907349 0.839999973773956 8 283 755 1
1853 401 415 60 95 64 0 21 20 28 32 36 18 11 2 2.14000010490417 0.670000016689301 29 307 475 3
2082 401 476 44 95 53 1 27 18 29 43 30 17 7 3 1.97000002861023 0.479999989271164 42 1036 520 3
1806 401 367 39 100 75 1 15 19 32 0 100 0 0 0 2 0.589999973773956 33 699 406 3
1997 401 416 55 99 46 1 15 19 33 36 27 15 13 9 2.30999994277954 0.639999985694885 30 743 471 3
1701 401 594 70 52 22 0 19 16 31 4 17 28 38 13 3.39000010490417 0.639999985694885 20 371 664 2
1926 401 399 58 91 74 1 31 20 28 45 36 11 8 1 1.8400000333786 0.660000026226044 23 1059 457 3
1633 401 501 83 97 61 0 15 14 25 52 43 2 3 0 1.55999994277954 0.860000014305115 7 244 584 3
1690 401 693 42 71 24 0 10 18 27 7 17 17 31 29 3.57999992370605 0.800000011920929 7 388 735 2
1696 401 508 28 77 9 0 18 19 29 7 25 28 36 4 3.04999995231628 0.5 35 528 536 2
1775 401 708 63 31 11 0 16 17 28 10 26 23 26 14 3.0699999332428 0.810000002384186 15 328 771 1
1673 401 436 47 100 76 0 12 19 31 31 33 14 16 5 2.29999995231628 0.589999973773956 26 492 483 3
1863 401 338 49 96 80 1 14 19 28 67 21 7 4 1 1.5 0.529999971389771 32 1013 387 3
1990 401 611 39 75 64 1 9 20 28 19 24 13 38 6 2.88000011444092 0.800000011920929 10 848 650 2
1752 401 442 25 100 70 0 16 19 28 52 32 9 6 1 1.73000001907349 0.769999980926514 17 621 467 3
1782 401 512 36 70 59 0 14 16 34 13 31 17 30 9 2.90000009536743 0.829999983310699 17 336 548 2
1995 401 717 39 17 4 0 14 19 31 5 48 10 32 6 2.84999990463257 0.899999976158142 10 455 756 1
1638 401 403 37 97 54 0 20 18 30 26 27 12 32 1 2.54999995231628 0.449999988079071 39 1149 440 3
1815 401 548 33 100 63 0 23 19 24 43 35 12 8 2 1.91999995708466 0.800000011920929 12 290 581 3
1709 401 487 28 96 66 0 18 19 27 9 21 18 29 24 3.38000011444092 0.610000014305115 21 726 515 3
1812 401 902 15 6 3 0 8 17 31 1 2 7 37 54 4.40999984741211 0.949999988079071 0 436 917 1
1742 401 615 42 63 23 0 22 16 30 19 19 29 29 3 2.76999998092651 0.629999995231628 27 403 657 2
1799 401 673 50 41 11 1 15 18 31 11 34 19 30 7 2.86999988555908 0.850000023841858 9 807 723 1
1907 401 482 24 79 7 0 24 17 27 46 25 16 12 1 1.96000003814697 0.560000002384186 38 637 506 2
1924 401 514 55 76 28 0 13 16 24 14 40 22 22 3 2.59999990463257 0.730000019073486 27 306 569 2
1781 401 442 24 94 13 0 16 18 29 8 31 33 25 3 2.83999991416931 0.730000019073486 29 715 466 3
1897 401 624 36 55 31 0 14 18 29 12 20 19 31 18 3.22000002861023 0.800000011920929 15 559 660 2
1596 401 456 80 95 70 1 13 20 29 28 43 19 7 2 2.11999988555908 0.610000014305115 24 514 536 3
1868 401 422 64 96 75 1 16 19 30 79 17 3 2 0 1.27999997138977 0.469999998807907 53 617 486 3
1909 401 423 30 98 53 0 13 18 29 19 36 17 25 4 2.5699999332428 0.610000014305115 30 570 453 3
1600 401 631 52 63 5 0 21 17 28 3 20 22 48 7 3.36999988555908 0.639999985694885 30 428 683 2
1894 401 426 33 99 69 1 8 19 24 46 29 13 7 4 1.94000005722046 0.769999980926514 25 833 459 3
1895 401 415 41 95 65 1 20 18 29 98 1 1 1 0 1.05999994277954 0.579999983310699 28 821 456 3
1889 401 555 57 83 20 0 19 19 27 2 48 25 15 11 2.84999990463257 0.810000002384186 6 259 612 3
1741 401 365 22 99 75 1 21 18 28 23 41 13 16 7 2.4300000667572 0.660000026226044 28 761 387 3
1769 401 407 13 98 91 1 31 19 30 49 35 10 6 1 1.75 0.670000016689301 23 1529 420 3
1941 401 451 44 96 41 1 21 18 29 0 100 0 0 0 2 0.569999992847443 30 1127 495 3
1744 401 491 61 97 86 1 10 19 28 32 30 21 16 2 2.25999999046326 0.689999997615814 27 1009 552 3
1680 401 737 7 31 2 0 22 16 29 1 6 21 55 16 3.77999997138977 0.810000002384186 11 326 744 1
1858 401 424 53 98 56 0 22 19 28 10 48 10 33 0 2.67000007629395 0.419999986886978 39 446 477 3
2074 401 427 47 89 64 0 28 19 27 44 30 18 5 4 1.94000005722046 0.75 17 450 474 3
1949 401 636 60 66 22 0 17 16 29 11 44 25 19 2 2.5699999332428 0.959999978542328 11 373 696 2
1903 401 489 103 100 67 0 8 18 27 42 21 19 16 3 2.1800000667572 0.800000011920929 10 443 592 3
1651 401 599 51 73 40 0 7 19 29 7 25 16 43 10 3.24000000953674 0.560000002384186 33 722 650 2
1723 401 354 15 99 83 1 16 19 31 74 18 7 1 0 1.3400000333786 0.600000023841858 33 1009 369 3
1783 401 377 60 99 90 1 9 19 28 71 19 5 4 1 1.44000005722046 0.649999976158142 31 943 437 3
1634 401 505 46 76 59 0 16 16 28 0 50 25 25 0 2.75 0.670000016689301 24 167 551 2
2088 401 419 10 92 78 1 15 19 26 61 23 10 4 3 1.6599999666214 0.620000004768372 26 768 429 3
1925 401 425 10 98 72 1 14 18 27 41 28 17 13 2 2.05999994277954 0.730000019073486 21 965 435 3
1851 401 735 12 47 14 0 19 18 24 7 29 28 25 10 3.01999998092651 0.949999988079071 5 239 747 2
1616 401 480 32 88 27 0 13 16 22 10 24 35 30 2 2.90000009536743 0.850000023841858 19 297 512 3
2092 401 423 51 98 65 1 14 18 28 32 32 23 6 6 2.22000002861023 0.519999980926514 33 587 474 3
1652 401 832 18 12 5 0 5 18 31 3 5 13 38 41 4.07999992370605 0.939999997615814 6 235 850 1
1820 401 504 47 83 37 1 17 19 28 29 37 15 17 3 2.27999997138977 0.759999990463257 17 651 551 3
1791 401 441 41 100 67 1 35 18 29 42 32 17 9 0 1.92999994754791 0.75 21 787 482 3
1677 401 482 52 100 49 0 22 19 25 43 41 12 3 1 1.76999998092651 0.670000016689301 21 259 534 3
1836 401 462 44 87 22 0 22 18 23 22 47 25 5 1 2.13000011444092 0.720000028610229 17 213 506 3
1743 401 508 48 86 56 0 18 18 27 46 31 2 16 4 2.01999998092651 0.810000002384186 14 372 556 3
1801 401 395 62 100 59 1 21 19 27 18 52 14 16 0 2.28999996185303 0.790000021457672 21 333 457 3
1678 401 440 57 95 66 1 18 19 30 45 36 11 8 0 1.82000005245209 0.670000016689301 33 1112 497 3
1731 401 684 35 79 48 0 15 19 32 7 19 28 34 13 3.25999999046326 0.689999997615814 23 367 719 2
1961 401 538 44 89 67 1 26 19 27 26 17 16 28 13 2.83999991416931 0.680000007152557 32 401 582 3
1900 401 453 33 96 84 1 19 19 26 48 27 13 11 1 1.88999998569489 0.689999997615814 27 739 486 3
1740 401 452 69 99 64 0 12 18 29 49 25 17 7 1 1.87000000476837 0.790000021457672 15 484 521 3
1977 401 358 28 96 65 1 23 19 25 40 60 0 0 0 1.60000002384186 0.46000000834465 42 364 386 3
1952 401 333 64 98 84 1 8 19 27 33 0 0 67 0 3 0.540000021457672 40 1004 397 3
1625 401 604 27 65 18 0 23 18 27 13 24 31 25 6 2.85999989509583 0.819999992847443 15 464 631 2
1994 401 396 32 97 43 1 24 19 30 37 30 14 18 1 2.16000008583069 0.589999973773956 39 922 428 3
1978 401 860 34 13 1 0 22 19 26 1 21 19 43 15 3.5 0.930000007152557 5 615 894 1
1805 401 399 22 99 86 1 9 18 29 67 0 0 0 33 2.32999992370605 0.829999983310699 12 1081 421 3
1704 401 511 13 97 53 1 9 17 26 39 29 16 13 2 2.08999991416931 0.610000014305115 33 338 524 3
1597 401 506 26 100 74 1 7 19 29 42 26 15 15 3 2.13000011444092 0.75 20 1007 532 3
1872 401 634 40 72 44 0 7 17 21 58 34 5 2 1 1.52999997138977 0.569999992847443 36 151 674 2
1729 401 511 78 82 43 0 20 18 25 43 30 15 10 2 1.97000002861023 0.730000019073486 18 245 589 3
1612 401 363 74 97 71 1 25 19 29 89 11 0 0 0 1.11000001430511 0.509999990463257 37 704 437 3
1621 401 667 50 72 29 0 20 18 29 33 36 12 17 2 2.20000004768372 0.899999976158142 10 236 717 2
1763 401 539 47 80 50 0 19 19 27 39 41 12 8 1 1.89999997615814 0.790000021457672 24 499 586 2
1854 401 444 26 98 45 0 17 19 29 28 56 12 3 1 1.94000005722046 0.5 31 703 470 3
1611 401 415 59 100 73 1 12 19 31 41 35 15 7 1 1.91999995708466 0.649999976158142 26 738 474 3
1778 401 660 39 67 35 0 21 19 27 6 12 20 46 16 3.53999996185303 0.699999988079071 17 665 699 2
1615 401 625 32 75 6 0 26 18 26 4 23 25 36 12 3.28999996185303 0.810000002384186 22 508 657 2
1795 401 725 34 33 18 0 19 14 29 2 39 18 34 7 3.04999995231628 0.939999997615814 13 355 759 1
2080 401 484 9 82 67 1 20 19 28 37 33 14 13 2 2.08999991416931 0.649999976158142 29 1570 493 3
1671 401 812 41 37 16 0 15 18 34 2 6 11 29 53 4.25 0.920000016689301 8 311 853 1
416 473 836 30 NA 1 0 11 22 33 0 2 18 51 30 4.07000017166138 100 3 517 866 1
425 473 593 64 45 11 0 16 21 31 10 24 40 19 7 2.90000009536743 100 3 510 657 1
419 473 808 42 NA 5 0 13 21 33 5 7 27 40 22 3.6800000667572 100 3 422 850 1
402 473 845 48 NA 4 0 16 20 30 0 3 14 39 43 4.21999979019165 93 4 382 893 1
430 473 663 82 17 3 0 17 20 33 4 26 42 23 5 3 89 11 240 745 1
406 473 670 49 31 6 0 17 21 30 6 25 34 26 8 3.04999995231628 100 0 384 719 1
412 473 725 58 NA 5 0 21 20 29 7 35 38 15 5 2.76999998092651 100 4 333 783 1
413 473 523 92 75 36 0 17 22 29 0 0 0 0 0 NA 91 15 419 615 2
3070 491 443 36 91 82 0 14 20 28 55 21 16 6 2 1.78999996185303 94 6 396 479 3
3072 491 769 -6 15 19 0 18 19 NA 7 18 36 27 11 3.17000007629395 100 0 187 763 1
3060 491 670 -1 48 40 0 19 18 28 20 17 33 20 10 2.82999992370605 91 13 235 669 2
3051 491 882 10 NA 1 0 20 19 30 0 4 10 38 48 4.28999996185303 100 0 523 892 1
3055 491 587 3 66 52 0 10 19 NA 30 23 26 15 6 2.46000003814697 87 13 198 590 2
194 507 527 -13 76 48 0 16 19 30 31 44 16 8 1 2.02999997138977 76 2 602 514 2
211 507 360 26 75 48 1 14 20 29 34 42 21 4 0 1.94000005722046 57 22 413 386 2
182 507 413 -2 81 45 0 22 19 28 12 57 22 8 1 2.29999995231628 64 29 494 411 3
167 507 757 17 NA 51 0 7 19 26 19 30 24 20 8 2.67000007629395 95 0 255 774 2
203 507 827 17 NA 2 0 6 19 29 4 25 24 31 16 3.28999996185303 100 0 179 844 1
187 507 480 18 77 30 0 19 20 30 31 32 31 5 1 2.13000011444092 78 11 322 498 2
201 507 558 66 59 16 0 13 18 29 20 31 31 12 5 2.5 100 0 191 624 2
210 507 430 2 90 29 0 17 19 29 11 32 19 35 4 2.88000011444092 58 25 595 432 3
184 507 445 -10 87 70 1 4 19 30 51 24 17 5 3 1.85000002384186 69 15 643 435 3
165 507 434 15 71 21 0 19 20 31 30 55 9 6 0 1.91999995708466 45 31 367 449 2
181 507 714 10 15 3 0 18 21 29 2 15 32 34 18 3.50999999046326 93 7 196 724 1
198 507 859 35 NA 2 0 7 20 30 0 13 17 34 36 3.92000007629395 95 5 213 894 1
2240 541 541 58 76 12 0 20 19 24 0 0 0 0 0 NA 61 44 198 599 2
2247 541 486 22 77 43 0 16 20 28 0 0 0 0 0 NA 44 48 333 508 2
2267 570 888 9 NA 1 0 13 22 31 1 28 23 39 8 3.25 75 25 547 897 1
2278 570 404 53 93 62 1 16 21 30 47 32 16 3 1 1.78999996185303 53 44 684 457 3
2282 570 553 29 64 25 0 20 21 31 19 30 28 17 6 2.60999989509583 86 14 312 582 2
4448 575 884 19 NA 12 0 7 20 28 1 2 10 40 47 4.32000017166138 100 0 696 903 1
4435 575 839 24 NA 10 0 12 18 33 0 4 16 40 40 4.15999984741211 100 7 393 863 1
4449 575 848 -4 NA 13 0 15 19 28 0 3 21 41 34 4.05000019073486 100 0 462 844 1
4431 575 826 32 NA 5 0 21 20 29 0 6 24 38 31 3.94000005722046 100 2 672 858 1
4427 575 784 18 NA 11 0 11 18 32 8 9 35 29 20 3.4300000667572 100 0 541 802 1
4443 575 848 27 NA 9 0 9 19 29 0 2 16 43 38 4.17000007629395 100 0 606 875 1
3698 600 643 77 55 9 0 19 18 26 10 68 18 5 0 2.17000007629395 100 4 332 720 2
3696 600 450 33 89 43 0 38 19 27 46 44 8 3 0 1.69000005722046 100 0 334 483 3
3715 600 636 60 50 11 0 23 19 30 6 64 23 6 0 2.3199999332428 100 0 495 696 2
3697 600 653 37 65 5 0 26 21 25 2 90 7 1 0 2.0699999332428 100 0 319 690 2
3700 600 665 52 77 11 0 29 19 27 28 42 24 6 0 2.07999992370605 100 0 351 717 2
3701 600 617 70 62 18 0 19 21 26 5 65 25 4 1 2.29999995231628 100 0 318 687 2
3518 605 564 59 60 23 0 16 19 27 25 31 28 14 3 2.40000009536743 94 16 384 623 2
3511 605 662 26 40 10 0 23 20 28 15 18 38 17 13 2.96000003814697 92 11 554 688 1
3520 605 575 68 63 29 1 19 19 27 24 20 28 10 17 2.75999999046326 87 23 573 643 2
3516 605 519 55 65 21 0 24 20 29 24 26 36 10 4 2.44000005722046 84 16 243 574 2
3525 605 568 64 51 18 1 19 19 31 21 27 33 12 7 2.5699999332428 91 15 555 632 2
3537 605 678 16 12 4 1 15 19 29 3 12 41 27 17 3.41000008583069 89 16 617 694 1
3519 605 525 7 62 36 0 19 19 34 39 29 22 6 3 2.05999994277954 87 23 541 532 2
3523 605 618 39 48 14 0 23 20 32 14 33 42 7 4 2.53999996185303 89 17 515 657 2
3535 605 673 32 20 6 0 15 19 30 7 19 38 18 19 3.24000000953674 96 11 490 705 1
3765 620 701 57 45 10 0 21 22 34 0 46 25 23 5 2.86999988555908 94 12 207 758 1
3736 620 542 14 61 46 0 39 22 25 22 26 30 20 3 2.5699999332428 96 15 657 556 2
3785 620 439 20 98 52 0 36 19 27 31 29 22 17 1 2.27999997138977 100 17 645 459 3
3741 620 516 57 100 51 0 31 20 32 37 31 15 16 2 2.14000010490417 100 6 434 573 3
3757 620 667 40 57 11 0 22 21 31 4 15 46 23 12 3.23000001907349 100 11 309 707 2
3751 620 533 59 100 22 0 35 20 30 0 85 11 2 2 2.22000002861023 100 13 222 592 3
3791 620 674 50 49 20 0 24 19 35 0 22 33 36 9 3.32999992370605 100 11 401 724 2
3772 620 824 5 NA 7 0 14 19 33 10 26 21 30 13 3.08999991416931 100 0 329 829 1
3758 620 642 48 98 51 0 10 20 28 28 25 28 15 4 2.40000009536743 100 5 230 690 3
3794 620 540 70 100 47 0 31 20 23 75 15 0 0 10 1.54999995231628 100 18 170 610 3
